Y,a.pinene,camphene,myrcene,?.Phellandrene,g.terpinene,p.cymene,terpinolene,Limonene_oxide_cis,Pinocarvone,Unk_1,bornylacetate,X4.ol.terpinen,trans.Verbenol,verbenone,sesquiterpeni.1,sesquiterpene.2,a.humulene,sesquiterpene.3,B.caryophillene.oxide,unk_.2,?.epi.Cadinol,Selina.6.en.4.ol,?.Cubebene,a.copaene,b.copaene
Abies nebrodensis,"8,58598016578487","0,14720403225433","2,18478984850656","0,37291555648024",0,0,"0,0364083016106997","0,271986780407617",0,"1,12582173930682",0,0,"0,814679183211746","0,589691932302064","0,0756293950859458","0,696009318041978","0,26911131846366",0,0,"9,97112023608963",0,0,"0,221359288338209","0,180355814575468","0,21478140885611"
Abies nebrodensis,"32,9604258982011","0,816022345291422","3,01539851973864","1,31363193886246","0,0369363347804573","0,0315311449627321","0,149713485871255","0,0644445294615994",0,"2,51379560260713",0,"0,04008073803072","1,50274661450784",0,"0,491130218861798","2,47754587878875","0,213244735419762","0,802036115821801",0,0,"1,47665111374328","6,74954499724625","0,710787385580646","0,588260547325877","0,801814309692794"
Abies nebrodensis,"19,841827024005","1,13295692861636","4,44133859246081","2,27862511282667","0,0375163819301972","0,0144201108064886","0,272262522178865","0,0212098337651335",0,"1,58865749998414",0,"0,103611450272062","1,08601108839238",0,"0,554740229155184","1,58403138322206","0,113085296468581","0,613865888314371",0,"2,77315660426483","2,16841076118119","5,22887142126903","0,577098753883698","0,388778874514576","0,54902947111569"
Abies nebrodensis,"29,2273470347167","0,902673613021296","2,45532260983543","1,44722801228111","0,0393268047072805","0,037760235022699","0,129362748273568","0,0739146451858458",0,"1,83243856678495",0,"0,172575086507474","1,81643886363981",0,"0,56993094344932","2,28842813528696","0,965663105093623","1,07884931142477",0,"2,00626139590799","1,85467457654599","9,54622109359005","0,762672710903955","0,543166447076027","0,746867626370066"
Abies nebrodensis,"7,97237675364782","0,252918613188773","2,32429974615747","0,31765195433223",0,"0,0953357262751253","0,0214127590367366","0,332942900187466",0,"1,1758422671851",0,0,"2,96144739526436","3,46077941180514",0,"0,257347742266342","0,045525393417447",0,0,"31,5767788780621",0,"1,7814415105345","0,0745796605858424",0,"0,0440051785835576"
Abies nebrodensis,"5,02515377315707","0,174352779915951","3,19976252761514","0,329231369499513",0,"0,043528908497845","0,0719973819351916","0,159763640408332",0,"0,401107934863446",0,0,"1,55466958333979","0,781821122777731",0,"0,0259152612734219","0,0555440528258285",0,0,"7,2663551208661",0,0,"0,0387263341105287","0,029836439701499","0,942495351341839"
Abies nebrodensis,"16,4681412087577","0,855135175052392","3,64141810536929","0,672321462101747","0,0331978976210292","0,0192938786410849","0,205291072440987","0,034457198220654",0,"4,8846159651416",0,"0,0802241180836929","0,70624639841336",0,"0,337941346388769","2,85694247321372","1,63706737842762","0,948069289393456",0,0,0,"8,65365890123869","0,571540282418902","0,419267088462225","0,565923999678414"
Abies nebrodensis,"34,9841372272009","0,620779427449429","3,25380051506283","1,36126908937127","0,0265291836198429","0,0159042400751783","0,160680195594565","0,0268474342369408",0,"1,54131179093239",0,"0,0517505589533412","1,04843464931294",0,"0,368509361409938","2,14428187171346","1,04493227133309","0,620806046299381",0,"0,357832331260535","1,17090454572783","5,64753024796036","0,3947884346478","0,402561901617941","0,483986640320613"
Abies nebrodensis,"16,6497881311427","0,22049099809947","1,73365719632289","0,798416405039658",0,"0,154705795513073","0,0569411032988846","0,327839227506254",0,"3,06652072056877",0,0,"1,39208935387539",0,"0,182477122721005","1,53984370336992","0,998964141685834","1,50326013864106",0,"31,0721096201038","5,05137715776421","11,7019518558881","0,719947899700365","0,790185873753565","0,899301525294224"
Abies nebrodensis,"37,1824126011247","0,596874578916194","2,33287476056603","1,12943564545538","0,0286256877697007","0,0331968870227136","0,0937040850044679","0,048942188104218",0,"1,56915092640889",0,"0,0253629021091046","1,87495026699056",0,"0,396782492185882","2,09508118406356","1,17761514168994","0,732992402716852",0,"3,70798345373568","1,7071154074786","7,91177948120035","0,457993233166433","0,478182505761512","0,501358625417357"
