Class,POP,WorkGroup,miX,Idsample,date,a-pinene,fenchene,camphene,b-pinene,b-myrcene,a-phellandrene,a-terpinene,d-limonene,cineolo,b-ocimene,g-terpinene,p-cymene,terpinolene,neryl-propionate,nerol,neryl-isovaleriate,neryl-acetate,linalool,terpinen-4-ol,a-terpineol,a-ylangene,a-copaene,isoitalicene,italicene,cis-a-bergamotene,trans-a-bergamotene,b-caryophillene,guaia-6.9-diene,b-farnesene,g-curcumene,a-muurolene,b-bisabolene,d-cadinene,sesquiterpene8,b-selinene,b-curcumene,selinene,a-curcumene,C15H26O2,guaiol,sesquiterpene 4,rosifoliol,TOT_Mono,TOT_mono&sesqui,Work_prop,Work_prop2,Work_prop3,Isole,WorkGroup_dup
C,I,C_I,,C I 19 25SETT20.D,28/09/2020 01:11:41,"980609,008242319","374665,882796942","137057,826622921","280668,071423665","52332,1480010801",0,"107035,422499998","4639614,22973212",0,0,"67125,3354104487","18367,7966451447","45439,9858581176","6356137,55105316","12155836,8317402","382351,806469739","34000806,8977622","6744092,771181",0,0,0,"36306,1231200024","340435,479906933","1382229,99578995","2517168,04130884","1323583,14719552","54584,6912970151",0,"237537,182999999","35467730,9906452",0,"388097,160791044",0,"244994,371",0,"828557,581000009",0,"2150539,44273339",0,"1053463,23874909",0,0,"66342141,5654391","112367369,011976",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 2 25SETT20.D,28/09/2020 06:46:51,"18439,9095",0,0,0,"14985,8615000003","15968,0938864867","134361,525258017","48249,9284999997",0,0,"98488,2439999981","944,725999999852","5769,82898776306","6675782,11705877","5805463,0942612","779074,884860606","25102288,1339784","692025,253023422",0,0,"143855,311690459","1415510,42171118","143794,048251095","636603,011147675","2221529,58325445","1688617,55279247","262265,309944777",0,"145287,687561194","9921191,25733282",0,0,0,"271961,036162937",0,"481735,056765406",0,"1727523,51452755",0,"1196307,42476482",0,"3437365,80290027","39391841,6008147","63085388,6196218",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 20 2sett20 .D,03/09/2020 16:19:48,"1999819,21199655","21630,0449581398","25699,6808935456","23526,4275031297","13624,7170000002",0,"138965,248790924","285491,894908957",0,0,"31306,7647925366","19936,2993691439",0,"1224438,90449828","2045933,88089075","389778,05452607","20122586,0853027","3248426,96933052",0,0,0,"48841,5494253844","133689,617499999","557676,581621058","2133407,71581573","1031480,98473989","155589,31",0,"176081,759999999","16642887,8963727",0,"265366,866499998",0,"116885,774149651",0,"532856,586500002",0,"1146223,07462332",0,"1517579,31353869",0,"1172848,92166406","29591164,1847612","55222580,1372117",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 21 30SETT20.D,30/09/2020 16:38:55,"3084630,23445969","928983,175948376","319343,980802939","1185485,20554137","69984,1383140542","51365,0807167565","603401,516500001","8710289,53918262","15303614,9851748",0,"1665857,48767805","475647,997500011","371034,663553218","3416851,12450813","1848986,54583063","104943,784740783","30295376,3252099","1815821,10358448","2475357,93500967",0,0,0,"388074,881277867","1637544,3849532","1903373,27823111","1127003,7497017","580132,66712537",0,"56008,8754999995","21194698,3211247",0,"316059,439970149",0,0,0,"597746,968499997",0,"1424855,06888241",0,0,0,0,"72726974,8242555","101952472,459522",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 22 2sett20 .D,03/09/2020 18:10:47,"3753698,28523038","395097,630087131","135857,813655137","232987,484180849","44927,4371945951",0,0,"3548525,20772046",0,0,"90970,0439999999","113142,508417997",0,"5099846,4951151","4411887,93907608","303069,390542839","27187610,472574","1218918,01819539","2032438,09591758",0,0,0,"132460,467562418","573757,259626217","704750,404155979","376781,229720357","1908915,07909538",0,"106697,572223881","5259100,17426099",0,"101359,3685",0,"29274,351870629",0,"379120,048",0,"3421741,85595603",0,"1842074,42289541",0,"6260773,92340767","48568976,8219075","69665782,9791825",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 23 2sett20 .D,03/09/2020 19:06:17,"1009011,26061983","352662,325602381","111951,055438909","417284,423444254","46518,6499999999","13692,0881897296","318974,442480749","3715362,54230497","4329527,7069658",0,"486044,234670031","102001,307841429",0,"2681724,09266112","5727922,53037842","295151,949999999","16879551,8114399","1191218,45403637","1931852,72860023",0,0,0,"537269,998820573","2283648,43604474","1216072,10772687","682864,179962686","2695144,25044912",0,"130060,692194029","28629547,569775",0,"193751,602",0,"63198,0684999997",0,"632826,121999999",0,"2297456,29770621",0,0,0,0,"39610451,6046741","78972290,9298534",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 24 2sett20 .D,03/09/2020 20:01:52,"329933,466229683","9275,64149999987",0,"147576,40472794","24436,2436162166","10390,0125000002","200728,518754279","193488,140499997","2744206,64902568",0,"350415,793499997","75487,2244999993",0,"831413,451628417","2117718,25083612","314911,367500004","6710768,14437377","2356650,90861139","1216148,97882729",0,0,0,"127552,426","508154,595380109","936556,644691948","574224,508150948","3731042,02809019",0,"39740,33619403","6250251,15145313",0,"173233,919999999",0,"34609,0229999997",0,"209555,668000001",0,"723183,994533358",0,"973465,543268444",0,"5547439,04409491","17633549,1966308","37462558,0794879",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 25 2sett20 .D,03/09/2020 20:57:26,"1467724,59910665","279545,876435463","89454,9264131142","797127,279739483","60425,6238027022","40668,0711654048","481365,869419502","2771354,53508283","2966512,94762868",0,"1352724,87454686","265860,616762285",0,"6304165,41164709","4209368,75340288","777304,905914153","34220014,3017423","671646,142348403","1552692,12223583",0,0,0,"365976,015181409","1511581,59140997","2178411,61581224","1402097,43576629","78405,2470970874",0,"240028,9394403","16641011,5264288",0,"376276,164500003",0,"88561,6809999999",0,"585302,586631893",0,"2221691,31718429",0,"1331881,14621829",0,"4860045,53542339","58307956,8573936","90189227,6594876",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 26 2sett20 .D,03/09/2020 21:52:59,"507291,847643467","80105,7217937733","103508,17216652","216413,199500003","54880,3118183785","16327,3759432434","115788,715","841323,686027819","6395406,44370587",0,"611209,374840288","163461,944357143",0,"1991471,40910707","1273285,35499066","142246,639661783","13140774,8117893","1449698,11265903","1458332,83328228",0,0,0,"73526,3692985083","300366,779141265","1071987,61802472","771619,575674745","2358542,31389896",0,"57813,6837014929","2294083,05487462",0,"177777,060500001",0,"55308,0785000003",0,"169682,4245",0,"880053,25411341",0,0,0,0,"28561525,9542866","36772286,1665144",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
C,I,C_I,,C I 27 2sett20 .D,03/09/2020 22:48:36,"304531,281761662","119073,05729367","42238,4966718206","102400,44089452","29181,3869513515",0,0,"1508499,22702689",0,0,"196887,693000002","35647,0918914291",0,"1558733,20943136","1555455,38774954","856923,622433264","12281342,2943199","9273033,89206099",0,0,0,0,"355808,034717168","1375584,5865102",0,0,"1674323,2583516",0,0,"18417511,8000748",0,0,0,0,0,"329974,401050537",0,"1630939,60235921",0,"1138264,81028586",0,"5452133,53672442","27863947,0814864","58238487,1115602",Gruppo capraia,Gruppo capraia,Gruppo capraia,Capraia,C_I
